TE_subfamily,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance
MER119,MER119:TE,6.2076144,0.3493413,5.379494364547113e-10,7.36250924983896e-09,MER119:hAT-Charlie:DNA,1217.61281333596,-0.0528226476159489,0.490301470460148,0.995278921297154,True,0.0765734929956859,-0.689829411581432,hAT-Charlie,DNA,Not Significant
MIR9-3HG,MIR9-3HG,3.6776576,0.34830588,0.0002353856357643,0.0018423216882544,,,,,,True,,,,,
MLT2B4,MLT2B4:TE,6.721161,0.34129453,1.8028236464776395e-11,2.713263129438431e-10,MLT2B4:ERVL:LTR,4006.41506002172,0.0441131546586587,0.368394952882341,0.995278921297154,True,0.0490427380592857,0.899483927780135,ERVL,LTR,Not Significant
HAL1M8,HAL1M8:TE,13.651759,0.33078966,1.9706271002225164e-42,7.844661920157313e-41,HAL1M8:L1:LINE,1474.55361919519,-0.0046117586893,0.937661669518527,0.995278921297154,True,0.0589669832814014,-0.0782091677861801,L1,LINE,Not Significant
MER102a,MER102a:TE,4.664577,0.3297408,3.092526521005105e-06,3.072591226076312e-05,MER102a:hAT-Charlie:DNA,2236.76310947256,0.016039948590217,0.797355136583503,0.995278921297154,True,0.062467780501217,0.256771546251824,hAT-Charlie,DNA,Not Significant
L1MB1,L1MB1:TE,20.137949,0.3283031,3.4326508799314213e-90,2.981743416079158e-88,L1MB1:L1:LINE,4844.17122940756,-0.0273073885095269,0.692839291298528,0.995278921297154,True,0.0691317761902365,-0.395004873509724,L1,LINE,Not Significant
L1MA6,L1MA6:TE,20.226772,0.32742566,5.690758279415242e-91,5.001045031807751e-89,L1MA6:L1:LINE,4510.83240258228,-0.066998490567022,0.372054539255617,0.995278921297154,True,0.0750572770888315,-0.892631509769908,L1,LINE,Not Significant
MIR646HG,MIR646HG,5.251359,0.32165956,1.5098102690585746e-07,1.691921984957325e-06,,,,,,True,,,,,
L1M3a,L1M3a:TE,4.3152943,0.32022586,1.593906010873283e-05,0.0001467223435123,L1M3a:L1:LINE,639.693350201007,-0.0685552894948428,0.45015322843507,0.995278921297154,True,0.0907825178647336,-0.755159595782423,L1,LINE,Not Significant
L1PBa1,L1PBa1:TE,9.8321295,0.31971103,8.186885396638339e-23,2.000462118666384e-21,L1PBa1:L1:LINE,406.026708877299,-0.011947097586531,0.892212969242664,0.995278921297154,True,0.0881675030847201,-0.135504547237218,L1,LINE,Not Significant
L1M4b,L1M4b:TE,18.011055,0.31880325,1.5956053712266904e-72,1.0800882755004094e-70,L1M4b:L1:LINE,3039.00342043502,-0.058015359610902,0.642981600542117,0.995278921297154,True,0.125158782287181,-0.463534068890058,L1,LINE,Not Significant
Tigger11a,Tigger11a:TE,3.7654417,0.31843138,0.0001662549591546,0.0013339009069388,Tigger11a:TcMar-Tigger:DNA,415.36383448495,-0.177934678234702,0.022805746609081,0.995278921297154,True,0.078155563274226,-2.2766732242768,TcMar-Tigger,DNA,Not Significant
L1MEh,L1MEh:TE,11.9985695,0.31789908,3.61490630758556e-33,1.1770965230171615e-31,L1MEh:L1:LINE,1010.99325467291,-0.0337889516100756,0.620284864722592,0.995278921297154,True,0.0681989693443125,-0.495446660483784,L1,LINE,Not Significant
L1MB4,L1MB4:TE,22.474665,0.31668878,7.345677629388936e-112,8.938232435274675e-110,L1MB4:L1:LINE,7762.90463163318,-0.080872732863347,0.158978216430856,0.995278921297154,True,0.0574169624791315,-1.4085163925685,L1,LINE,Not Significant
MER6,MER6:TE,5.2029676,0.31573194,1.961310870803323e-07,2.180806445504768e-06,MER6:TcMar-Tigger:DNA,986.705397611088,-0.0249095756885087,0.623788410663811,0.995278921297154,True,0.0507852602192,-0.49048829485157,TcMar-Tigger,DNA,Not Significant
L1MA7,L1MA7:TE,23.459187,0.31518897,1.0652471590180833e-121,1.5771430228713544e-119,L1MA7:L1:LINE,4576.0286610415,-0.034064870563046,0.646988253090492,0.995278921297154,True,0.0743855423391722,-0.457950153911926,L1,LINE,Not Significant
MER77,MER77:TE,3.1476684,0.3120144,0.0016457828610393,0.0112316085123836,MER77:ERVL:LTR,2199.74629405756,0.0666848196442223,0.137936876454609,0.995278921297154,True,0.0449504665313924,1.48351785398381,ERVL,LTR,Not Significant
L1ME2,L1ME2:TE,28.68738,0.31190604,5.482622431392787e-181,1.8107716173132992e-178,L1ME2:L1:LINE,10321.9404697643,-0.0564640899309163,0.299578245794657,0.995278921297154,True,0.0544317053410357,-1.03733824941083,L1,LINE,Not Significant
MLT1A0-int,MLT1A0-int:TE,7.8808165,0.31171215,3.252490329143122e-15,5.906561742742995e-14,MLT1A0-int:ERVL-MaLR:LTR,763.542207801886,-0.080983981783248,0.402148149965557,0.995278921297154,True,0.096663716086821,-0.837790900884776,ERVL-MaLR,LTR,Not Significant
Charlie1,Charlie1:TE,9.472979,0.30727625,2.71976352297466e-21,6.312161597143118e-20,Charlie1:hAT-Charlie:DNA,2273.72395769837,-0.143840876977596,0.0259759362842383,0.995278921297154,True,0.0646019619946833,-2.22657133833542,hAT-Charlie,DNA,Not Significant
LTR6B,LTR6B:TE,3.549615,0.30708274,0.000385794962164,0.0029280473706669,LTR6B:ERV1:LTR,361.199624324497,0.0590603773660531,0.597473363523968,0.995278921297154,True,0.111848848267412,0.528037420866862,ERV1,LTR,Not Significant
HAL1ME,HAL1ME:TE,15.721092,0.3063811,1.084374961918675e-55,5.580631760353732e-54,HAL1ME:L1:LINE,4482.18541100345,-0.0035726314921582,0.952679150298177,0.995278921297154,True,0.0602033849737905,-0.0593427013068045,L1,LINE,Not Significant
MER47B,MER47B:TE,3.5423834,0.30515587,0.0003965285879736,0.003004201338933,MER47B:TcMar-Tigger:DNA,600.523904774106,0.018168676946912,0.851351236754769,0.995278921297154,True,0.0969540986983232,0.187394624784709,TcMar-Tigger,DNA,Not Significant
MIR2052HG,MIR2052HG,4.0210266,0.3051142,5.7945112083785736e-05,0.0004943344716656,,,,,,True,,,,,
LTR25-int,LTR25-int:TE,4.681016,0.30492675,2.8545657995768454e-06,2.8455713136411968e-05,LTR25-int:ERV1:LTR,728.716429849927,-0.0527834803946463,0.622097424359571,0.995278921297154,True,0.10709196389094,-0.492879936802727,ERV1,LTR,Not Significant
L1M4a2,L1M4a2:TE,12.628556,0.3015098,1.4694920392561481e-36,5.117680560816168e-35,L1M4a2:L1:LINE,1273.36287505745,-0.0117043476666954,0.902448901277818,0.995278921297154,True,0.0954923974603522,-0.122568371702627,L1,LINE,Not Significant
LTR85b,LTR85b:TE,2.9727855,0.29977992,0.0029511070089268,0.0192189644969221,LTR85b:Gypsy:LTR,415.335932305692,0.0886739615164908,0.411375317485317,0.995278921297154,True,0.107944706660413,0.82147577458757,Gypsy,LTR,Not Significant
L1M6B,L1M6B:TE,2.909359,0.29908693,0.003621708377962,0.0231203154842074,L1M6B:L1:LINE,512.391926050951,-0.0194089516345396,0.828649876262727,0.995278921297154,True,0.0896762931239247,-0.216433473757866,L1,LINE,Not Significant
MER106B,MER106B:TE,2.913315,0.29593956,0.0035761346457415,0.0228585127132627,MER106B:hAT-Charlie:DNA,614.211025899178,0.0432739277040979,0.488523390321489,0.995278921297154,True,0.0624750553233471,0.692659293859421,hAT-Charlie,DNA,Not Significant
HERV16-int,HERV16-int:TE,2.9411619,0.29593953,0.0032698350583224,0.0210845081909207,HERV16-int:ERVL:LTR,602.147535429634,0.141179474439347,0.174875025981859,0.995278921297154,True,0.10406056955038,1.35670480230263,ERVL,LTR,Not Significant
L1MEd,L1MEd:TE,37.74169,0.2946882,0.0,0.0,L1MEd:L1:LINE,11271.8286009307,-0.110988921154182,0.121918751991054,0.995278921297154,True,0.071755291123531,-1.54676985371167,L1,LINE,Not Significant
L1MEa,L1MEa:TE,4.4555945,0.29454964,8.366110895142232e-06,7.949524595431545e-05,L1MEa:L1:LINE,128.048904938783,0.0007383257205795,0.99449121300379,0.99863022158782,True,0.10693715575004,0.0069042954752357,L1,LINE,Not Significant
L1MEf,L1MEf:TE,29.749475,0.2930893,1.761452456797437e-194,7.154115349871212e-192,L1MEf:L1:LINE,8208.92459768814,-0.0584981388162085,0.374200669380819,0.995278921297154,True,0.0658294008367215,-0.888632405470362,L1,LINE,Not Significant
L1M2,L1M2:TE,23.23435,0.28918436,2.0479600648573912e-119,2.889738955365676e-117,L1M2:L1:LINE,5858.35279964101,-0.0325547566487598,0.611016804983441,0.995278921297154,True,0.0640057254869056,-0.50862257088891,L1,LINE,Not Significant
MLT1N2,MLT1N2:TE,5.501329,0.2886466,3.769397063550766e-08,4.467240881112708e-07,MLT1N2:ERVL-MaLR:LTR,3276.35789735638,0.0121357910768456,0.778766308166871,0.995278921297154,True,0.0431990744904169,0.280927108277233,ERVL-MaLR,LTR,Not Significant
L1MC1,L1MC1:TE,30.670366,0.2885456,1.4144060842143338e-206,6.856447558235777e-204,L1MC1:L1:LINE,12104.9331848716,-0.0580373059345516,0.320385534838474,0.995278921297154,True,0.0584072616246479,-0.993665929889441,L1,LINE,Not Significant
MER51-int,MER51-int:TE,3.1452584,0.28677487,0.0016594023264213,0.0113117117080046,MER51-int:ERV1:LTR,436.268773570693,-0.112322866738361,0.20536312153283,0.995278921297154,True,0.0886932911439048,-1.26641897363035,ERV1,LTR,Not Significant
MER101-int,MER101-int:TE,4.202019,0.28636166,2.6454469796724568e-05,0.0002358614920618,MER101-int:ERV1:LTR,3178.63232011615,-0.124418731649756,0.169334417655198,0.995278921297154,True,0.0905294360601275,-1.37434559480874,ERV1,LTR,Not Significant
L1MEi,L1MEi:TE,16.184559,0.28589356,6.481278143398221e-59,3.509816479276279e-57,L1MEi:L1:LINE,1926.5293421037,-0.0201417739898912,0.796319421397354,0.995278921297154,True,0.0780346047318379,-0.258113359567943,L1,LINE,Not Significant
MER74A,MER74A:TE,4.1971583,0.28435937,2.70284879164433e-05,0.0002400535473784,MER74A:ERVL:LTR,1992.28005147959,0.0751589940062636,0.367083144329511,0.995278921297154,True,0.0833293967074859,0.901950535776671,ERVL,LTR,Not Significant
THE1C-int,THE1C-int:TE,8.798204,0.2831632,1.3902228890565354e-18,2.9016075646245946e-17,THE1C-int:ERVL-MaLR:LTR,1561.90799675551,0.07747489139798,0.435503984196376,0.995278921297154,True,0.0993512584549881,0.779807851483639,ERVL-MaLR,LTR,Not Significant
L1ME3C,L1ME3C:TE,11.390006,0.2823963,4.6895484935581055e-30,1.3899840234111327e-28,L1ME3C:L1:LINE,2026.73149011171,-0.0169267990045674,0.784203131907801,0.995278921297154,True,0.0618114265400899,-0.273845791175664,L1,LINE,Not Significant
L1ME3,L1ME3:TE,18.36399,0.28109214,2.551526832389481e-75,1.7917322183987348e-73,L1ME3:L1:LINE,7482.6928353059,-0.0649489995346357,0.185777819044553,0.995278921297154,True,0.0490857919263806,-1.32317310133341,L1,LINE,Not Significant
MLT1O,MLT1O:TE,6.0117803,0.28024787,1.8349714518325043e-09,2.4146264003864242e-08,MLT1O:ERVL-MaLR:LTR,3087.61853543939,0.0141411874917582,0.776535690065898,0.995278921297154,True,0.0498215981932252,0.283836488683359,ERVL-MaLR,LTR,Not Significant
LTR33A_,LTR33A_:TE,3.5135388,0.2799043,0.0004421798844542,0.0033224291068178,LTR33A_:ERVL:LTR,1492.97251796838,0.0090277645917787,0.91233407288024,0.995278921297154,True,0.08199980622255,0.110094950313383,ERVL,LTR,Not Significant
MER6A,MER6A:TE,4.559717,0.2792618,5.122251110196964e-06,4.959705448355984e-05,MER6A:TcMar-Tigger:DNA,1426.81284757204,0.0301242143780378,0.592113184725249,0.995278921297154,True,0.0562253613927682,0.535776269495217,TcMar-Tigger,DNA,Not Significant
