"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TE","TE_family","TE_class","significance"
13795.4097906214,-0.00373671043232894,0.0535808637831224,-0.0697396452482346,0.944400886238721,0.995278921297154,"AluSx3:Alu:SINE","Alu","SINE","Not Significant"
4919.86502369871,-0.00553866725155305,0.0593471008946064,-0.0933266691727551,0.925644045603445,0.995278921297154,"AluSx4:Alu:SINE","Alu","SINE","Not Significant"
52347.7278441381,0.00494080486058269,0.0523350074966159,0.0944072638358211,0.924785645872426,0.995278921297154,"AluSx:Alu:SINE","Alu","SINE","Not Significant"
50711.7203502982,-0.00585022531924867,0.0524668771192503,-0.111503211939828,0.911217318724797,0.995278921297154,"AluSz:Alu:SINE","Alu","SINE","Not Significant"
35384.4035932425,0.0313113779609908,0.0511399812892039,0.612268076202854,0.540360407438256,0.995278921297154,"AluY:Alu:SINE","Alu","SINE","Not Significant"
153.956884676408,0.016092632922178,0.203304014551401,0.0791555098293907,0.936908931517818,0.995278921297154,"AluYa8:Alu:SINE","Alu","SINE","Not Significant"
495.944197037497,0.121063915449304,0.0774160272244054,1.56380945638526,0.117862322864221,0.995278921297154,"AluYb8:Alu:SINE","Alu","SINE","Not Significant"
75.5789373534218,-0.155475395855004,0.178182461503758,-0.872562846774484,0.382901398767624,0.995278921297154,"AluYb9:Alu:SINE","Alu","SINE","Not Significant"
281.427667562914,0.113436657376347,0.11022776089688,1.02911150923649,0.303427278447952,0.995278921297154,"AluYc3:Alu:SINE","Alu","SINE","Not Significant"
1358.22901911218,0.0210147395029896,0.0705238875846223,0.297980446381005,0.765718087612768,0.995278921297154,"AluYc:Alu:SINE","Alu","SINE","Not Significant"
70.7719666702078,0.0784368352290605,0.123333552537547,0.635973209359891,0.524793883936879,0.995278921297154,"AluYd8:Alu:SINE","Alu","SINE","Not Significant"
332.393472864091,-0.0501813485154899,0.0702919453889101,-0.71389898569242,0.475289644609154,0.995278921297154,"AluYe5:Alu:SINE","Alu","SINE","Not Significant"
50.3286083650087,0.329411306131,0.158793138855535,2.07446813196815,0.03803585544637,0.995278921297154,"AluYe6:Alu:SINE","Alu","SINE","Not Significant"
635.64638543323,0.0276367405273182,0.0768495067905926,0.359621573143282,0.719130148465074,0.995278921297154,"AluYf1:Alu:SINE","Alu","SINE","Not Significant"
150.216103620301,0.113347746417667,0.0999026315464364,1.1345821893088,0.256550419153784,0.995278921297154,"AluYg6:Alu:SINE","Alu","SINE","Not Significant"
764.809040891794,0.0963721185716463,0.0695012904827396,1.38662344112272,0.165556616596547,0.995278921297154,"AluYh3:Alu:SINE","Alu","SINE","Not Significant"
