names,scores,logfoldchanges,pvals,pvals_adj,is_TE
MLT1H2-int:TE,3.0929794,0.37577432,0.0019815790092659,0.0133205898285592,True
L1MC2:TE,21.237877,0.37575963,4.267508990403324e-100,4.261128993573817e-98,True
L1M8:TE,15.371472,0.37475675,2.5432342431798713e-53,1.2449007358106031e-51,True
Charlie24:TE,7.072093,0.37248135,1.526138127510312e-12,2.4423898520938458e-11,True
Tigger4:TE,13.453203,0.3722638,2.94817742935254e-41,1.1522428171546238e-39,True
Charlie5:TE,10.548143,0.3665641,5.181060817284407e-26,1.3829199188586398e-24,True
LTR106_Mam:TE,3.2349443,0.36594337,0.0012166646245984,0.008497991004487,True
L1ME3E:TE,17.108541,0.35982448,1.2816905271274053e-65,7.719681120804443e-64,True
LTR101_Mam:TE,4.8049364,0.35503572,1.548005383037878e-06,1.577128874142489e-05,True
MIR99AHG,16.19419,0.3508282,5.542302738049397e-59,3.0121864157698854e-57,True
MER119:TE,6.2076144,0.3493413,5.379494364547114e-10,7.3625092498389606e-09,True
MIR9-3HG,3.6776576,0.34830588,0.0002353856357643,0.0018423216882544,True
MLT2B4:TE,6.721161,0.34129453,1.8028236464776395e-11,2.713263129438431e-10,True
HAL1M8:TE,13.651759,0.33078966,1.9706271002225164e-42,7.844661920157314e-41,True
MER102a:TE,4.664577,0.3297408,3.092526521005105e-06,3.072591226076312e-05,True
L1MB1:TE,20.137949,0.3283031,3.432650879931421e-90,2.981743416079158e-88,True
L1MA6:TE,20.226772,0.32742566,5.690758279415242e-91,5.001045031807751e-89,True
MIR646HG,5.251359,0.32165956,1.5098102690585746e-07,1.691921984957325e-06,True
L1M3a:TE,4.3152943,0.32022586,1.593906010873283e-05,0.0001467223435123,True
L1PBa1:TE,9.8321295,0.31971103,8.186885396638339e-23,2.000462118666384e-21,True
L1M4b:TE,18.011055,0.31880325,1.5956053712266904e-72,1.0800882755004094e-70,True
Tigger11a:TE,3.7654417,0.31843138,0.0001662549591546,0.0013339009069388,True
L1MEh:TE,11.9985695,0.31789908,3.6149063075855597e-33,1.1770965230171615e-31,True
L1MB4:TE,22.474665,0.31668878,7.345677629388936e-112,8.938232435274675e-110,True
MER6:TE,5.2029676,0.31573194,1.961310870803323e-07,2.180806445504768e-06,True
L1MA7:TE,23.459187,0.31518897,1.0652471590180833e-121,1.5771430228713544e-119,True
MER77:TE,3.1476684,0.3120144,0.0016457828610393,0.0112316085123836,True
L1ME2:TE,28.68738,0.31190604,5.482622431392787e-181,1.8107716173132992e-178,True
MLT1A0-int:TE,7.8808165,0.31171215,3.252490329143122e-15,5.906561742742995e-14,True
Charlie1:TE,9.472979,0.30727625,2.7197635229746598e-21,6.312161597143118e-20,True
LTR6B:TE,3.549615,0.30708274,0.000385794962164,0.0029280473706669,True
HAL1ME:TE,15.721092,0.3063811,1.0843749619186753e-55,5.580631760353732e-54,True
MER47B:TE,3.5423834,0.30515587,0.0003965285879736,0.003004201338933,True
MIR2052HG,4.0210266,0.3051142,5.7945112083785736e-05,0.0004943344716656,True
LTR25-int:TE,4.681016,0.30492675,2.8545657995768454e-06,2.8455713136411968e-05,True
L1M4a2:TE,12.628556,0.3015098,1.4694920392561481e-36,5.117680560816168e-35,True
LTR85b:TE,2.9727855,0.29977992,0.0029511070089268,0.0192189644969221,True
L1M6B:TE,2.909359,0.29908693,0.003621708377962,0.0231203154842074,True
MER106B:TE,2.913315,0.29593956,0.0035761346457415,0.0228585127132627,True
HERV16-int:TE,2.9411619,0.29593953,0.0032698350583224,0.0210845081909207,True
L1MEd:TE,37.74169,0.2946882,0.0,0.0,True
L1MEa:TE,4.4555945,0.29454964,8.366110895142232e-06,7.949524595431545e-05,True
L1MEf:TE,29.749475,0.2930893,1.7614524567974368e-194,7.154115349871212e-192,True
L1M2:TE,23.23435,0.28918436,2.0479600648573912e-119,2.889738955365676e-117,True
MLT1N2:TE,5.501329,0.2886466,3.769397063550766e-08,4.467240881112708e-07,True
L1MC1:TE,30.670366,0.2885456,1.4144060842143338e-206,6.856447558235777e-204,True
MER51-int:TE,3.1452584,0.28677487,0.0016594023264213,0.0113117117080046,True
MER101-int:TE,4.202019,0.28636166,2.6454469796724568e-05,0.0002358614920618,True
L1MEi:TE,16.184559,0.28589356,6.4812781433982205e-59,3.509816479276279e-57,True
MER74A:TE,4.1971583,0.28435937,2.70284879164433e-05,0.0002400535473784,True
THE1C-int:TE,8.798204,0.2831632,1.3902228890565354e-18,2.9016075646245946e-17,True
