TE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TE_family,TE_class,significance
UCON19:UCON19:Unknown,4.97276281994559,-0.112876976575578,0.600791480341333,-0.187880454815118,0.850970364684277,0.9962736297742,UCON19,UCON19,Not significant
MER47B:TcMar-Tigger:DNA,600.491412571582,0.018060594802302,0.0969556632670771,0.186276842359912,0.852227666743415,0.9962736297742,TcMar-Tigger,MER47B,Not significant
MER92B:ERV1:LTR,1080.36719316157,0.0181275756510834,0.0983241908503843,0.184365368220191,0.853726836245626,0.9962736297742,ERV1,MER92B,Not significant
LTR1E:ERV1:LTR,239.879208213462,0.017677633957305,0.0959335798675599,0.184269512111501,0.853802030166394,0.9962736297742,ERV1,LTR1E,Not significant
Charlie29a:hAT-Charlie:DNA,1684.78514940768,-0.00803968089133458,0.0436479503069349,-0.184193778511914,0.853861440008901,0.9962736297742,hAT-Charlie,Charlie29a,Not significant
MamGypLTR2b:Gypsy:LTR,194.739844437854,-0.0170043163134713,0.0930227452979228,-0.182797403570619,0.854956985937271,0.9962736297742,Gypsy,MamGypLTR2b,Not significant
LTR40a:ERVL:LTR,1563.94286995652,0.0136182717461736,0.0747102046563773,0.182281280165268,0.855361988836434,0.9962736297742,ERVL,LTR40a,Not significant
MSTB2-int:ERVL-MaLR:LTR,130.506758693502,-0.0393845907267564,0.216237227748532,-0.182136032434516,0.855475971848674,0.9962736297742,ERVL-MaLR,MSTB2-int,Not significant
UCON28c:UCON28c:Unknown,54.6393191766727,0.0275275019414832,0.152758298602298,0.180202988599332,0.856993212278675,0.9962736297742,UCON28c,UCON28c,Not significant
MER34-int:ERV1:LTR,370.287049570664,0.025073502882154,0.139348103346165,0.17993429605473,0.857204150237351,0.9962736297742,ERV1,MER34-int,Not significant
L1PA6:L1:LINE,8159.54946676392,-0.0120905604105715,0.0672227309468853,-0.179858215223726,0.857263879595253,0.9962736297742,L1,L1PA6,Not significant
L1M3de:L1:LINE,310.504740897297,0.0220021741463333,0.125036580851895,0.175965897311242,0.860320734354075,0.9962736297742,L1,L1M3de,Not significant
Tigger6b:TcMar-Tigger:DNA,126.274532391521,0.0195248777378656,0.111944435954048,0.174415794509702,0.861538702341903,0.9962736297742,TcMar-Tigger,Tigger6b,Not significant
CER:Satellite:Satellite,597.625392307491,-0.0331309429489859,0.190231195051714,-0.174161461478384,0.861738571898542,0.9962736297742,Satellite,CER,Not significant
X7B_LINE:CR1:LINE,425.157026397354,0.013547759803935,0.078235328159996,0.173166779287089,0.862520335405802,0.9962736297742,CR1,X7B_LINE,Not significant
AluSc:Alu:SINE,15609.9624400706,-0.00900822537184097,0.0520412096291879,-0.173097924433882,0.862574456388116,0.9962736297742,Alu,AluSc,Not significant
MER34C2:ERV1:LTR,458.949019176479,0.0165723269028383,0.0959163278624046,0.172778996779483,0.862825146879457,0.9962736297742,ERV1,MER34C2,Not significant
Ricksha_a:MULE-MuDR:DNA,107.949229097357,-0.0260882008360678,0.151414180022002,-0.172296946245569,0.863204084996756,0.9962736297742,MULE-MuDR,Ricksha_a,Not significant
LTR14A:ERVK:LTR,124.503579577906,-0.0287772096137893,0.16838284804565,-0.170903449774098,0.864299684046044,0.9962736297742,ERVK,LTR14A,Not significant
MER44D:TcMar-Tigger:DNA,745.482834383519,0.0103916497262231,0.061351503445357,0.169378892816839,0.86549862471644,0.9962736297742,TcMar-Tigger,MER44D,Not significant
SVA_C:SVA:Retroposon,1300.38044287136,0.0132892024870254,0.0785180487218167,0.169250289625867,0.865599774917964,0.9962736297742,SVA,SVA_C,Not significant
L1MB5:L1:LINE,6985.68068408582,-0.00998771291585657,0.0591880132547082,-0.168745534216121,0.865996801193901,0.9962736297742,L1,L1MB5,Not significant
Tigger17b:TcMar-Tigger:DNA,50.6004955626152,-0.0314145193602387,0.188100681342814,-0.167009067356783,0.867362914410382,0.9962736297742,TcMar-Tigger,Tigger17b,Not significant
MER39:ERV1:LTR,3999.86335690405,0.00900024281395084,0.0541421975735056,0.166233422677972,0.867973257859782,0.9962736297742,ERV1,MER39,Not significant
HUERS-P3b-int:ERV1:LTR,1555.9175682505,0.0108371550274194,0.0654876787115606,0.165483877893298,0.868563138461909,0.9962736297742,ERV1,HUERS-P3b-int,Not significant
LTR24:ERV1:LTR,241.866049691973,-0.0146675636251844,0.0886444770026495,-0.16546505908931,0.868577949523843,0.9962736297742,ERV1,LTR24,Not significant
MLT1I-int:ERVL-MaLR:LTR,366.242982651355,-0.0161239402028417,0.0976682938307615,-0.16508878747059,0.868874098221087,0.9962736297742,ERVL-MaLR,MLT1I-int,Not significant
LTR17:ERV1:LTR,378.41723957753,0.0186621311035011,0.11393480125039,0.16379658277095,0.869891281901074,0.9962736297742,ERV1,LTR17,Not significant
LTR103_Mam:ERV1:LTR,344.725027440597,0.0152486378378388,0.0933293282715335,0.163385273635253,0.870215097019683,0.9962736297742,ERV1,LTR103_Mam,Not significant
LTR26C:ERV1:LTR,282.453108848165,0.0134657600905009,0.0834093298134483,0.16144189289877,0.871745373633221,0.9962736297742,ERV1,LTR26C,Not significant
MamGypsy2-LTR:Gypsy:LTR,385.658935475982,-0.0108561425424666,0.0672934790734707,-0.161325327385941,0.871837176155112,0.9962736297742,Gypsy,MamGypsy2-LTR,Not significant
Charlie18a:hAT-Charlie:DNA,2066.19013358989,-0.00597883125611229,0.0371210806449851,-0.161062963475984,0.872043810209927,0.9962736297742,hAT-Charlie,Charlie18a,Not significant
Charlie4z:hAT-Charlie:DNA,3977.20827135551,-0.00704363790082751,0.0447040018404632,-0.157561685997696,0.874802196515427,0.9962736297742,hAT-Charlie,Charlie4z,Not significant
LTR8B:ERV1:LTR,1304.50045380464,-0.00701872149062793,0.0449620090881642,-0.156103377784236,0.875951535918634,0.9962736297742,ERV1,LTR8B,Not significant
MER34A1:ERV1:LTR,959.755605830533,0.0102876173707168,0.0668907938911987,0.15379720843873,0.877769634992714,0.9962736297742,ERV1,MER34A1,Not significant
