TE_family,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance,new_bulk_TE,new_bulk_baseMean,new_bulk_log2FoldChange,new_bulk_lfcSE,new_bulk_stat,new_bulk_pvalue,new_bulk_padj,new_bulk_TE_class,new_bulk_significance,_merge
MER61F,,,,,,,,,,,,,,,,,MER61F:ERV1:LTR,139.231648637761,0.191012453331621,0.112580681407916,1.69667167530744,0.0897587505825218,0.9962736297742,MER61F,Not significant,right_only
MER61E,,,,,,,,,,,,,,,,,MER61E:ERV1:LTR,116.415429422596,0.0657354529243072,0.104270339583639,0.630432903420044,0.52841138889065,0.9962736297742,MER61E,Not significant,right_only
MER61D,,,,,,,,,,,,,,,,,MER61D:ERV1:LTR,219.402177191518,0.146479671695207,0.113634847963384,1.28903830401045,0.197384770422461,0.9962736297742,MER61D,Not significant,right_only
MER61C,,,,,,,,,,,,,,,,,MER61C:ERV1:LTR,230.809990743457,0.102412208811667,0.105739472190439,0.96853338389302,0.33277805468728,0.9962736297742,MER61C,Not significant,right_only
MER61B,,,,,,,,,,,,,,,,,MER61B:ERV1:LTR,419.471764276904,0.0654750384238659,0.0929173241643938,0.70465910434554,0.481022407200174,0.9962736297742,MER61B,Not significant,right_only
MER63B,,,,,,,,,,,,,,,,,MER63B:hAT-Blackjack:DNA,1414.25518318346,0.0437956836913707,0.0430692021909668,1.01686777240922,0.309216336320593,0.9962736297742,MER63B,Not significant,right_only
MER61A,,,,,,,,,,,,,,,,,MER61A:ERV1:LTR,391.619941809188,0.0943804961907247,0.073314718237146,1.28733354584326,0.197978055950618,0.9962736297742,MER61A,Not significant,right_only
MER66A,,,,,,,,,,,,,,,,,MER66A:ERV1:LTR,111.801593518168,0.192837282242403,0.128671320803495,1.49868114384946,0.133956370737544,0.9962736297742,MER66A,Not significant,right_only
MER66C,,,,,,,,,,,,,,,,,MER66C:ERV1:LTR,252.12945053337,0.147813040400982,0.0975383347383116,1.51543534957362,0.129662191025385,0.9962736297742,MER66C,Not significant,right_only
MER70A,,,,,,,,,,,,,,,,,MER70A:ERVL:LTR,372.127676771554,0.0507836858430365,0.124177321863058,0.408961033150969,0.682568257735274,0.9962736297742,MER70A,Not significant,right_only
MER70-int,,,,,,,,,,,,,,,,,MER70-int:ERVL:LTR,102.452872149116,0.186863439299438,0.152384945457109,1.22625918681733,0.220101154701762,0.9962736297742,MER70-int,Not significant,right_only
MER6C,,,,,,,,,,,,,,,,,MER6C:TcMar-Tigger:DNA,57.1255693449518,-0.0421525950643706,0.162548237671993,-0.259323605522138,0.795385567639616,0.9962736297742,MER6C,Not significant,right_only
MER6B,,,,,,,,,,,,,,,,,MER6B:TcMar-Tigger:DNA,343.495517442453,-0.0724537950341791,0.100284345643311,-0.722483599702401,0.469997204930503,0.9962736297742,MER6B,Not significant,right_only
