TE_name,scTE_mean_expression,soloTE_mean_expression,log2_scTE,log2_soloTE,fold_difference,pearson_r,spearman_r
LTR54B,0.33607943243601646,0.35159757922821633,0.4180057812962183,0.4346656716852498,1.0461740445557817,0.9826695654705839,0.9931688856710245
L1PA16,12.126889669805065,12.602720114531138,3.714453214505907,3.7658232686681936,1.0392376328620294,0.9826695654705839,0.9931688856710245
AluSx1,139.89182469168546,163.6423830285677,7.138444090854877,7.363191958792083,1.1697780294817823,0.9826695654705839,0.9931688856710245
Tigger3b,9.43353003580427,9.853305785123966,3.3831554505896855,3.4400626318801195,1.0444982681585808,0.9826695654705839,0.9931688856710245
MLT2B4,1.0476561463996816,1.0836044771263096,1.0339734704484962,1.0590814421825279,1.034313100483145,0.9826695654705839,0.9931688856710245
Charlie14a,0.3187077310701498,0.3335556712435739,0.3991248514290801,0.4152780535731533,1.0465879507187013,0.9826695654705839,0.9931688856710245
MER92A,0.026289616761702692,0.0270059217804386,0.03743791389344342,0.03844450035001386,1.0272466853550606,0.9826695654705839,0.9931688856710245
LTR80A,0.08539981434822967,0.09237326739116287,0.11822656702778175,0.12746591394844192,1.0816565350637921,0.9826695654705839,0.9931688856710245
MER72B,0.1024897228484286,0.1033383223791241,0.1407652073794286,0.141875239866033,1.0082798490061537,0.9826695654705839,0.9931688856710245
MamGypsy2-LTR,0.20345444901206736,0.21975662133142448,0.2671815365543561,0.286593314816375,1.0801268897805105,0.9826695654705839,0.9931688856710245
HSMAR1,0.5120342129691022,0.455798138869005,0.5964907839521266,0.5418103251504269,0.890171256598223,0.9826695654705839,0.9931688856710245
LTR1A2,0.20315608009547806,0.21267976833474328,0.26682380907554903,0.2781986290819773,1.0468786763856708,0.9826695654705839,0.9931688856710245
MER30,3.6107777483092427,3.922268497429557,2.2050101257065,2.2993233553468984,1.0862669404555692,0.9826695654705839,0.9931688856710245
MER57C2,0.17278875480705477,0.17848311316457344,0.2299431754824918,0.23693108592938333,1.0329556067498822,0.9826695654705839,0.9931688856710245
HAL1,18.433314547142288,19.59824624194703,4.28046008293892,4.364449604832153,1.0631970822023988,0.9826695654705839,0.9931688856710245
MLT1E2,1.3346538920567563,1.410327324786881,1.2232086890254195,1.2692290791443266,1.0566989187794888,0.9826695654705839,0.9931688856710245
MER68,0.8506166290942846,0.9049424090583719,0.8880060596661313,0.9297473822740719,1.0638663505973842,0.9826695654705839,0.9931688856710245
L1PA11,4.1973213101710645,4.38276826966877,2.3777682524368626,2.4283483180945145,1.0441822166303798,0.9826695654705839,0.9931688856710245
LTR3A,0.0956106617159528,0.09195028307411987,0.13173521052238632,0.12690717128042528,0.9617157890939085,0.9826695654705839,0.9931688856710245
LTR14C,0.01763691818061265,0.021279364872779333,0.025222915269059024,0.03037756081627055,1.2065239819232272,0.9826695654705839,0.9931688856710245
MER132,0.00369645935552314,0.003839396108544283,0.005323031446265013,0.005528471508051912,1.0386685299111211,0.9826695654705839,0.9931688856710245
MamRep434,0.7970759846174248,0.821077633890805,0.8456514106915711,0.8647924267858498,1.0301121218473157,0.9826695654705839,0.9931688856710245
LTR41B,0.25971356584007427,0.27093772369362923,0.33309573045573415,0.34589333961150853,1.0432174488572723,0.9826695654705839,0.9931688856710245
L2,33.43739225566901,35.063854363245916,5.1059039948156535,5.172481689482873,1.0486420141569588,0.9826695654705839,0.9931688856710245
Tigger12c,0.36018101047606416,0.3876651265699226,0.44379865554853953,0.47265945658630387,1.0763063992460375,0.9826695654705839,0.9931688856710245
THE1B,6.873193210449543,7.171015813106006,2.97694888281468,3.030515444029637,1.0433310389266144,0.9826695654705839,0.9931688856710245
L1PA15-16,0.7242408168677894,0.7884264983406,0.7859612831498285,0.8386908269389329,1.0886247776555036,0.9826695654705839,0.9931688856710245
LTR9,0.27491380453520753,0.29579618663369556,0.35039971141886533,0.3738388172532741,1.0759597431864054,0.9826695654705839,0.9931688856710245
MER61-int,1.5162611059541176,1.4654291663955228,1.3312816347450533,1.3018388037382778,0.966475470843621,0.9826695654705839,0.9931688856710245
MADE1,1.3851113910621933,1.4682924448493526,1.2540566455097513,1.3035133360346975,1.0600536925895652,0.9826695654705839,0.9931688856710245
