TE_name,scTE_logFC,scTE_pval,scTE_padj,soloTE_logFC,soloTE_pval,soloTE_padj,TE_family,TE_class,_merge,scTE_significant,soloTE_significant,scTE_direction,soloTE_direction,agreement,logFC_pearson_r,logFC_spearman_r
LTR47B,0.24191761,0.5177510615375958,1.0,0.24269332,0.5294246665335118,0.6457196903863907,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR47B2,0.0039641857,0.3201626727080215,1.0,0.029292677,0.3773993237183403,0.5013491016062266,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR47B3,0.14149566,0.1292025908205419,1.0,0.1633541,0.1226324544162708,0.1941204718641636,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR47B4,0.0073724105,0.376988595594927,1.0,0.018383082,0.3448531248274911,0.4642730608085997,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR48,0.030493442,0.0093163270888462,0.1877379248772304,0.010371718,0.0801809999031698,0.133717236761594,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR48B,-0.008231786,0.078505993059194,1.0,-0.03445113,0.5452259462940658,0.6625839975143132,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR49,0.08340512,9.41153319922173e-05,0.0034502163046485,0.13454235,1.716323246187198e-06,7.35089895797376e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR49-int,0.066192195,0.0002012460816772,0.0068672485093466,0.089480594,2.1417315545971503e-06,8.963849440862204e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR5,0.030966869,0.8425127455124487,1.0,-0.37745914,0.3983902690068236,0.5209349235264135,LTR,LTR,both,False,False,Up,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR50,0.0032643874,0.1721147270647695,1.0,0.015049929,0.1606325451936405,0.2445585379071718,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
