,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
MER41B,3119.6618554532606,0.04066250296948649,0.06809972628880047,0.5971022966677291,0.5504390846409235,0.7888435708259165,TE
MER41C,870.3181840798045,0.15353466344481873,0.11641246908177766,1.3188850357341309,0.1872075496521935,0.5076348819448899,TE
MER41D,329.72125385661485,0.23990097486645448,0.09525090903030498,2.5186213686436076,0.011781527198740331,0.21969832441268583,TE
MER41E,674.6639629734813,-0.10254382943952237,0.11740077605034015,-0.8734510357542501,0.3824172837030464,0.6761132190659035,TE
MER41G,60.44242240030501,0.03854249224416478,0.14979319759498835,0.2573046898189341,0.7969435723582827,0.9179309908683921,TE
MER44A,4228.907101691072,-0.003038956787696025,0.06967284231628436,-0.04361752279174265,0.965209283821996,0.9866234527486392,TE
MER44B,3282.2006841363745,0.014996536790808089,0.06746785566733428,0.2222767663574777,0.8240984374841,0.9302857119562984,TE
MER44C,3136.299671240843,0.10983726060149608,0.06662838469107187,1.6485055297493076,0.0992489769026337,0.40812578201086847,TE
MER44D,1235.8174623739787,0.1998524638791333,0.08096783127123533,2.4682946392579614,0.013575852429066736,0.22994243136179812,TE
MER45A,2148.7376871791425,0.18504086293688957,0.1003924689139909,1.8431747414780622,0.06530350149911897,0.36058274659590606,TE
MER45B,1630.4059007318747,0.01494501614397287,0.07411710111320248,0.2016405919754829,0.8401977091641641,0.9365679807829603,TE
MER45C,1765.5868604249652,0.015220694586709807,0.17072323913880996,0.08915420456809817,0.9289593598445824,0.9743087568818448,TE
MER45R,452.68447925144153,0.09672808514907519,0.08786454793994802,1.1008772868800856,0.27095006860170234,0.5851084060595114,TE
MER46C,4417.304976462422,0.052075563041815695,0.06559971894857114,0.7938382035240409,0.42728962889200545,0.7107756727395002,TE
MER47A,3870.4571052202186,0.053839945236487975,0.05304244943919451,1.0150350484512913,0.3100891208057286,0.6183518297702288,TE
MER47B,1069.0187249763871,0.21886844068315298,0.11474406578605463,1.9074488879559386,0.05646248378662037,0.3457982848492774,TE
MER47C,482.604819249143,0.25785874940014025,0.09386974930557444,2.7469845323729585,0.0060145970954869,0.18375062943823736,TE
MER48,197.9755883143054,-0.08026551115563244,0.12087197090234318,-0.6640539618608671,0.5066557744647411,0.7635757519279555,TE
MER49,1436.6799629024608,0.12962668211144773,0.09673425531142671,1.340028738466296,0.18023600194285272,0.5014456152613477,TE
MER4A,955.9191087852304,0.1505156032117173,0.08316965355457931,1.8097418563003012,0.07033582835793956,0.366478397278806,TE
MER4A1,2054.817212736666,0.05001124898447237,0.07058011386590463,0.7085742179374901,0.47858874033434057,0.7448586515717234,TE
MER4B,1721.3400755478572,0.10402474866573545,0.08705829821866513,1.1948860797216083,0.2321315423069189,0.5504383520035009,TE
MER4B-int,1994.164858215753,0.07929312432414462,0.06609474969587047,1.1996886997682175,0.23026026335390584,0.5487665177302464,TE
MER4C,822.1825252631576,-0.019488899333600054,0.07028541036340283,-0.2772822870754384,0.7815633594023521,0.9102180676044631,TE
MER4CL34,994.851003247475,0.14728782269231647,0.08969388991390706,1.6421165681819698,0.10056584869911095,0.4101334141058287,TE
MER4D,1594.7415347293497,0.11378341771236253,0.11715162941532778,0.9712491262838162,0.33142423572157803,0.63569601361871,TE
MER4D0,377.88724910986303,0.1758469978662868,0.10415338624032108,1.6883464303363267,0.0913447472888988,0.3990074145232891,TE
MER4D1,2079.9375995974046,0.09781665706409505,0.11756024806615456,0.8320555517120956,0.40537758906435517,0.6944588955419382,TE
MER4E,1623.539240615703,0.04267978619389002,0.07428398287961935,0.5745489746161646,0.5655963694804103,0.7988707059684687,TE
MER4E1,1789.7026251923746,0.15633601998674362,0.07764462818059621,2.0134814687130254,0.044064002568370175,0.3182875525326933,TE
MER50,2034.771043453383,0.07364074025565441,0.10700146484845222,0.6882217954675004,0.49131312065795946,0.7538571622194539,TE
MER50-int,695.406907108395,0.1627266693224521,0.14564233796100073,1.1173033308901297,0.2638646517879919,0.5796548283469756,TE
MER50B,632.9398248297972,0.016937783327830143,0.10419171997933228,0.1625636214776948,0.8708620317598916,0.9497218509225137,TE
MER50C,45.15183302914267,0.12034055326824457,0.1806451396687654,0.6661709996122976,0.5053018071130471,0.7629937798104631,TE
MER51-int,797.0275663898443,0.03410555310036048,0.08529573205658147,0.39985064056588837,0.6892665293047034,0.8676537090949104,TE
MER51A,1290.8571883600348,-0.08707080502503835,0.07902200343388059,-1.101855195279785,0.27052462990581766,0.5847325465370542,TE
MER51B,479.21797565303115,-0.006172411220572604,0.10576234949817617,-0.058361139383340234,0.9534609682657849,0.9836963549650731,TE
MER51C,259.23115296770123,-0.006316043941591835,0.133114863579198,-0.04744807433043751,0.9621561143656464,0.9855210227310177,TE
MER51D,68.57318193253808,0.11176137107790067,0.181560301759023,0.6155606153719475,0.5381845517546131,0.7812582219718651,TE
MER51E,172.4193079505348,-0.02904559096674403,0.1040336912288797,-0.27919408245202193,0.7800958846744048,0.9094412993952612,TE
MER52-int,319.5427185422853,0.07595983944370828,0.16510165703324114,0.4600792070088959,0.6454593682835237,0.8427318064280034,TE
MER52A,1216.1815531130048,0.012312134100656087,0.20588268344859834,0.059801698202219096,0.9523135730298306,0.9831975666867059,TE
MER52C,242.76768598746605,-0.09318721949358962,0.1784515820153889,-0.5221988981053334,0.6015318531495893,0.8191856678602497,TE
MER52D,326.67272476073566,-0.051730686169677714,0.18169461715673998,-0.28471226599438504,0.7758645925171049,0.9074038154683048,TE
MER53,3215.6505805892143,0.053733960750930884,0.06142365924630271,0.8748088506981176,0.38167792064871564,0.6754059926393644,TE
MER54A,792.2121711225541,0.097477636368766,0.1280080753833569,0.7614959921617542,0.446360871807452,0.7230463021424155,TE
MER54B,277.8989963808675,0.07188674402719042,0.1450773329555173,0.49550637968532185,0.6202427198193023,0.8311831724970077,TE
MER57-int,2314.68423337999,-0.18732547946439232,0.10503544347998515,-1.7834501693715208,0.07451305270562979,0.37174235986231047,TE
MER57A-int,2351.3165709827585,0.14441072762332569,0.08959400498406869,1.6118347164969835,0.1069979114094787,0.4189812952034324,TE
MER57A1,1684.4746237656273,-0.018134460104182785,0.09180809669796652,-0.1975257167550501,0.8434161587958473,0.9378656959806797,TE
MER57B1,1009.8952540067127,0.2291922496349193,0.08405173023913659,2.726799900285713,0.0063951807965065485,0.18836714346073832,TE
MER57B2,1313.874964316392,0.06167540280641716,0.08217878021906669,0.7505027775054217,0.4529519515977781,0.7283382544114415,TE
MER57C1,156.23463298069098,0.2949727207403201,0.10551303827643188,2.7956044632846786,0.005180275723697327,0.17732917631770648,TE
MER57C2,555.3703914289425,0.015410145710830723,0.12733657269763773,0.12101900800661805,0.9036759796360309,0.963638144824175,TE
MER57D,453.6897959464094,0.18185060164324285,0.08549035959779946,2.1271474643314487,0.03340783260885044,0.29331965404481714,TE
MER57E1,940.6319654622131,-0.03211635060406082,0.10478170051336685,-0.3065072474173463,0.7592184625714143,0.9000568018141734,TE
MER57E2,81.754365228838,0.09592597416043606,0.1492124853764484,0.6428816859287899,0.5203008737952681,0.7710094388314654,TE
MER57E3,404.759851198567,-0.05780768309817833,0.15071875864573894,-0.38354670392458573,0.701314448166128,0.8726654167314242,TE
MER57F,573.8722318723736,0.10547959752562625,0.0905587903821824,1.1647637637436856,0.2441146304470023,0.5607749889352336,TE
MER58A,19116.376550325254,0.1019044036682403,0.05346917124064435,1.9058534348626321,0.05666922392761407,0.34614537203340856,TE
MER58B,12717.437308651452,0.055457191705709084,0.04728093875431248,1.1729291584899177,0.24082421539895263,0.5573583973690521,TE
MER58C,4049.011694207768,0.019002153684350834,0.07774403749654352,0.24441943454757756,0.8069059915528125,0.9219669878602966,TE
MER58D,1314.1665518507075,0.11417476642888157,0.07661727350641483,1.4901961555617378,0.13617266694280453,0.45567824979960975,TE
MER5A,33282.15434667254,0.09368836906658186,0.06312316585681324,1.4842153081976566,0.13775180989819386,0.45681653740059275,TE
MER5A1,15431.011697273401,0.11124420731253258,0.07073818816493233,1.5726188385424418,0.11580710292696604,0.42976779671104637,TE
MER5B,20730.587426168193,0.1082579933205633,0.0605913068235863,1.786691837424141,0.07398730909140393,0.3706376720768384,TE
MER5C,2470.1040600754072,0.03768900962251232,0.07070071651632635,0.5330781847707172,0.5939794595283316,0.8156863127567081,TE
MER5C1,1040.6442772038909,0.044891589225486105,0.09933780729367381,0.4519083966970646,0.6513349751767921,0.8458217713718662,TE
MER6,1733.6462146395295,0.15977962586072167,0.07949550122119768,2.0099203528025056,0.04443961927001478,0.31916072392622435,TE
MER61-int,4813.16950784586,-0.1007920729330409,0.10421925977584012,-0.9671156094356208,0.3334862430812537,0.6370966857837589,TE
MER61A,572.9275954554383,-0.022197804144419797,0.1239913535007866,-0.179027033076778,0.8579164752675909,0.9446815850011163,TE
MER61B,749.1807582376257,-0.08814816799361437,0.10702373576622218,-0.8236319482078374,0.41014871721333895,0.6980463345796282,TE
MER61C,378.64498453197433,-0.05689693856963493,0.14505239640846795,-0.3922509381328178,0.6948728104230375,0.8691944791384033,TE
MER61D,266.37120308940223,-0.057117211320971605,0.11486154887866735,-0.49727007757231884,0.6189986096014362,0.8305219415654084,TE
MER61E,256.8282827847772,0.1032026669397668,0.10464811586540022,0.9861875303374542,0.324041097193972,0.6307746430843161,TE
MER61F,277.31186613269864,-0.19828630095453278,0.1477235119316166,-1.342279900888915,0.17950525782428306,0.5007177638322821,TE
MER63A,2416.2819716428753,0.1841361589721313,0.1099869365914834,1.6741639023555592,0.09409839169237909,0.40176828465667713,TE
MER63B,2187.970613252285,0.12057615121166271,0.07825754280136232,1.5407607611411445,0.12337502263859292,0.43989305196380096,TE
MER63C,1673.6223589097824,0.1271786000754765,0.08046381806415287,1.5805687964505795,0.11397666514923153,0.42691837581908687,TE
MER63D,1662.4355530179128,0.08312615041019855,0.06384863058274029,1.3019253451720765,0.19294190733902863,0.5136611877279369,TE
MER65-int,2351.771480116465,0.006709541049844902,0.09806826062866758,0.06841704958192713,0.9454536500270184,0.9799934428143832,TE
MER65A,1382.7565643867267,0.1119585529776342,0.08214117326196792,1.3630016291655769,0.1728819971651345,0.4935199013502903,TE
MER65B,126.41115643106166,0.1621143327836296,0.11394916464686082,1.422689962546344,0.15482605164442487,0.4762127890726086,TE
MER65C,710.0239682426787,0.08462641036020693,0.07397508598892712,1.1439852921951879,0.2526297366246732,0.5687802792895187,TE
MER65D,343.9711922827915,0.20506113024958178,0.10607400072127109,1.9331893664350188,0.053212874216413145,0.3387570091588721,TE
MER66-int,807.603293269916,0.20725729139220758,0.12139480920855829,1.7072994532751078,0.08776640768881973,0.39381121736785474,TE
MER66A,159.31457427463778,0.433260076996127,0.2149225176841328,2.015889640902497,0.04381151708504902,0.31764540862505247,TE
MER66B,1277.0796949101973,-0.0023831606618833663,0.07221219822588842,-0.033002189663698556,0.9736728414947865,0.9900855499846758,TE
MER66C,491.60723797266843,-0.10810538459376784,0.08779388865462297,-1.2313543260288804,0.21819037158628427,0.5371333559344704,TE
MER66D,171.72724230341393,-0.01965170772705924,0.09929070299304751,-0.19792092446394788,0.8431069326547778,0.9377294758412699,TE
MER67A,389.20220178255573,0.191583815539697,0.14244252906400467,1.3449902693991858,0.17862837694194791,0.4998310121200515,TE
MER67B,722.9899669990161,0.09738907388702497,0.1007524690827891,0.966617242968007,0.33373541148515806,0.6373908486322357,TE
MER67C,1773.2443569470859,0.27054040574698773,0.1254845844809936,2.15596526749439,0.031086377339489112,0.2868457271454558,TE
MER67D,1590.4127523694988,0.049769469066599244,0.11998130021189196,0.41481021608120844,0.6782808402743059,0.861437966073298,TE
MER68,2655.206820763463,0.0782230540046362,0.06418938957346865,1.2186290370483297,0.22298502289973243,0.5422252923386788,TE
MER68-int,507.5226067295469,0.06783444858800806,0.08523954370778637,0.7958096164915486,0.42614270143326527,0.7099315463917261,TE
MER68B,1028.1328492581906,-0.02775394800210473,0.08810769241279068,-0.3150002825187561,0.7527614393583819,0.8968844480326913,TE
MER68C,83.93143459382215,0.07895899271421539,0.14886760954486583,0.5303973977658227,0.5958364298552556,0.8160402705329883,TE
MER6A,1965.9221622105347,0.13204833823468196,0.07974154008922464,1.655954200118659,0.09773109416863361,0.4067502283353008,TE
MER6B,919.0507309522098,0.0657924695731949,0.09354152404256649,0.7033504130556579,0.4818374007205216,0.7472855731887863,TE
MER6C,186.21117339829163,-0.1105985488600136,0.13208593903187954,-0.8373226527414106,0.40241122948550717,0.6919144721308627,TE
MER70-int,168.5133298487846,0.029501921903202003,0.16520984365389374,0.178572421901246,0.8582734505213161,0.9447465570322161,TE
MER70A,507.66434296008356,-0.011407978881758974,0.09752995337786223,-0.11696897708502757,0.9068846373899675,0.9648725504716672,TE
MER70B,277.53614864965743,0.07683653703436039,0.1294713248008674,0.5934637430530534,0.5528708405638081,0.7899366368299545,TE
MER70C,212.77718736737066,0.3421351575569545,0.18552684467717187,1.844127507004664,0.06516456001868998,0.3605176679051874,TE
MER72,770.3106276406386,0.17543961642741318,0.1275179110801902,1.3758037199737942,0.16888240945326183,0.4910474172653625,TE
MER72B,315.9065787759433,0.25588987892425374,0.14483586839211574,1.7667576530937783,0.07726882344563192,0.3755567687819632,TE
MER73,246.5592579764063,0.25391122768912255,0.11970390817804706,2.121160716920421,0.03390827982564303,0.29525337023732867,TE
MER74A,2357.153396079747,0.07218566100944647,0.14873953656482805,0.4853158929803737,0.6274522834656704,0.8341276131874594,TE
MER74B,1292.651389103039,0.09992966466199751,0.11919372930860714,0.8383802171611511,0.4018171964423536,0.6916337500488025,TE
MER74C,106.80830936445473,0.21519436650169668,0.20194162381114805,1.0656266025816568,0.28659246864418403,0.5992202467100162,TE
MER75,682.4594910010879,0.2547108220227845,0.12904811616661743,1.973766294224091,0.04840832308348809,0.3275626473335863,TE
MER75A,120.50340263510638,-0.34392827633977263,0.14474541905188693,-2.376090922894662,0.017497150713723344,0.24702745741594986,TE
MER75B,189.82839661230858,0.004847436657189861,0.09496407638300863,0.051044951331271876,0.959289701230981,0.98508391362478,TE
MER76,409.92425896854576,0.012914764245786928,0.1066289208131698,0.12111877478733535,0.9035969585223866,0.963638144824175,TE
MER76-int,70.72569093494019,0.09789601537962625,0.16273631372313432,0.6015622029277262,0.5474655948068383,0.7872064765406401,TE
MER77,1603.1078714713917,0.1637288414042748,0.08314924478327387,1.9690959530784595,0.04894207349287627,0.32888102703692496,TE
MER77B,1788.7184279346252,0.13564918726514788,0.11004571151216805,1.2326621855695739,0.21770182557569237,0.536897613920492,TE
MER8,2594.4983746714506,0.03500167639307205,0.05935579629579614,0.5896926429668847,0.5553967284572768,0.7914876192714086,TE
MER81,1822.7873651015495,0.12379232545793503,0.09793413279158893,1.264036571614661,0.20621690075569876,0.5269666839308583,TE
MER83,415.258127810936,0.11162625240276788,0.09018740383586808,1.2377144440915089,0.2158219614601132,0.535040301346508,TE
MER83A-int,131.40148372157964,0.2835762309581859,0.21623743440884688,1.3114113739530384,0.189718818198351,0.5103885924693284,TE
MER83B,411.7604584179785,0.06782932287089838,0.15200213521068656,0.44623927668438185,0.6554244143042518,0.8480121066040234,TE
MER83B-int,295.7978160498496,0.17236411641753582,0.08778662783529882,1.9634438714392508,0.049594620361939984,0.33021955672022085,TE
MER83C,150.7682909902184,-0.05497240700186722,0.12297422707684996,-0.4470238057891062,0.6548578716164486,0.8478596823532293,TE
MER84,342.608324488184,-0.072112455651325,0.1352541260015428,-0.5331627047776897,0.5939209559325871,0.8156863127567081,TE
MER84-int,210.14016280016148,-0.3246748581175683,0.2538669233574856,-1.2789175282215623,0.20092609945944684,0.520883333231498,TE
MER85,1142.5733778158315,-0.06491661062166526,0.08162520857471099,-0.795301007558805,0.4264384276055073,0.7100879163363089,TE
