names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
X9_LINE,0.060498238,-0.0089215515,0.9517588207750042,1.0,X9_LINE,Unknown,Unknown
LTR55,0.060142364,-0.094005935,0.952042249426626,1.0,LTR55,LTR,LTR
LTR27B,0.05907475,-0.074887805,0.9528925716361221,1.0,LTR27B,LTR,LTR
LTR103b_Mam,0.05765126,-0.515668,0.9540264178408246,1.0,LTR103b_Mam,LTR,LTR
MER41C,0.05409254,0.11548324,0.9568614354531865,1.0,MER41C,LTR,LTR
MER4A1_,0.05409254,-0.020249551,0.9568614354531865,1.0,MER4A1_,LTR,LTR
LTR26,0.05195731,0.022545975,0.9585627102929848,1.0,LTR26,LTR,LTR
MER84-int,0.051245563,0.53572595,0.9591298442330314,1.0,MER84-int,LTR,LTR
HERVL66-int,0.051245563,0.28724554,0.9591298442330314,1.0,HERVL66-int,Unknown,Unknown
LTR71A,0.049110334,0.14694448,0.960831369022049,1.0,LTR71A,LTR,LTR
LTR38C,0.048398588,0.15851572,0.9613985839860288,1.0,LTR38C,LTR,LTR
LTR19B,0.04483987,-0.32644776,0.9642349461630416,1.0,LTR19B,LTR,LTR
MER48,0.04483987,-0.2318392,0.9642349461630416,1.0,MER48,LTR,LTR
LTR60B,0.044128124,-0.42893672,0.9648022740626606,1.0,LTR60B,LTR,LTR
LTR52-int,0.04341638,-0.76829284,0.9653696197811515,1.0,LTR52-int,LTR,LTR
MER63C,0.040569406,-0.1146592,0.9676391751063377,1.0,MER63C,LTR,LTR
MLT1G-int,0.0380783,-0.05316471,0.9696252516876618,1.0,MLT1G-int,LTR,LTR
ERVL-int,0.037010685,0.0035776002,0.9704764857571481,1.0,ERVL-int,Unknown,Unknown
Charlie10,0.035231326,-0.04304105,0.9718952834736537,1.0,Charlie10,Unknown,Unknown
LTR40a,0.034875453,-0.012237483,0.9721790538340573,1.0,LTR40a,LTR,LTR
LTR69,0.03416371,0.7644871,0.9727466050848239,1.0,LTR69,LTR,LTR
Tigger8,0.03416371,-0.058165867,0.9727466050848239,1.0,Tigger8,Unknown,Unknown
LTR27E,0.03274022,0.27618045,0.9738817487010821,1.0,LTR27E,LTR,LTR
LTR86C,0.031672604,-0.1820414,0.9747331412578066,1.0,LTR86C,LTR,LTR
L1P5,0.031316735,0.038491234,0.9750169452222842,1.0,L1P5,LINE-1,LINE
LTR43B,0.03060499,-0.38592213,0.9755845626041552,1.0,LTR43B,LTR,LTR
LTR75B,0.03060499,-0.7744526,0.9755845626041552,1.0,LTR75B,LTR,LTR
LTR51,0.029181503,0.09234853,0.9767198341740991,1.0,LTR51,LTR,LTR
X6B_LINE,0.02882563,-0.03773173,0.9770036595250592,1.0,X6B_LINE,Unknown,Unknown
LTR7B,0.024911039,-0.034098897,0.9801259226466702,1.0,LTR7B,LTR,LTR
PRIMA4-int,0.022775806,-0.0052575604,0.981829106649737,1.0,PRIMA4-int,Unknown,Unknown
Helitron1Nb_Mam,0.022064062,-0.12632744,0.9823968534408386,1.0,Helitron1Nb_Mam,Unknown,Unknown
LTR89,0.020996446,-0.22626503,0.9832484902550501,1.0,LTR89,LTR,LTR
MLT1G3-int,0.020640574,0.06649751,0.9835323734833966,1.0,MLT1G3-int,LTR,LTR
LTR77,0.01637011,-0.12945849,0.9869391245939133,1.0,LTR77,LTR,LTR
LTR14C,0.01637011,0.5150569,0.9869391245939133,1.0,LTR14C,LTR,LTR
LTR1C1,0.01637011,-0.1245296,0.9869391245939133,1.0,LTR1C1,LTR,LTR
