names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR18C,-0.04833669,-0.28309095,0.9614479167133658,1.0,LTR18C,LTR,LTR
MER92A,-0.049556304,0.020240024,0.9604759675795511,1.0,MER92A,LTR,LTR
LTR58,-0.049730536,-0.16896744,0.9603371224649685,1.0,LTR58,LTR,LTR
HERVL74-int,-0.051049713,-0.071100056,0.9592859059334383,1.0,HERVL74-int,Unknown,Unknown
MamGypLTR1a,-0.052493345,-0.029813971,0.9581355992196746,1.0,MamGypLTR1a,LTR,LTR
HERV1_LTRc,-0.054484557,0.01101417,0.9565491127998673,1.0,HERV1_LTRc,LTR,LTR
HERVIP10FH-int,-0.058666103,0.021912744,0.9532180590167254,1.0,HERVIP10FH-int,Unknown,Unknown
Charlie10,-0.06670562,0.01581509,0.9468160572462324,1.0,Charlie10,Unknown,Unknown
LTR64,-0.06675541,-0.06996201,0.9467764266356249,1.0,LTR64,LTR,LTR
MER83B,-0.07143475,0.04138581,0.9430517507928549,1.0,MER83B,LTR,LTR
LTR41,-0.07521806,0.00022574536,0.9400412170601876,1.0,LTR41,LTR,LTR
MER45R,-0.07526784,-0.024065481,0.9400016103899299,1.0,MER45R,LTR,LTR
HERV-Fc1_LTR3,-0.0753674,-0.95188636,0.9399223974947128,1.0,HERV-Fc1_LTR3,LTR,LTR
MER41D,-0.07815509,-0.0010410813,0.9377046805999045,1.0,MER41D,LTR,LTR
Chompy-6_Croc,-0.084726095,-21.130154,0.9324791472632422,1.0,Chompy-6_Croc,Unknown,Unknown
MLT1O-int,-0.084726095,-20.42274,0.9324791472632422,1.0,MLT1O-int,LTR,LTR
PABL_B,-0.085671924,-0.06438599,0.9317272213480638,1.0,PABL_B,Unknown,Unknown
PABL_A,-0.08634396,0.024736471,0.931192995182979,1.0,PABL_A,Unknown,Unknown
THE1-int,-0.08654308,-0.11866105,0.9310347118911,1.0,THE1-int,Unknown,Unknown
LTR88c,-0.09480661,0.014436902,0.9244684347985066,1.0,LTR88c,LTR,LTR
PrimLTR79,-0.095080405,-0.006919165,0.9242509629848128,1.0,PrimLTR79,LTR,LTR
LTR1B,-0.10008333,0.032488864,0.9202781730548228,1.0,LTR1B,LTR,LTR
LTR42,-0.10068069,-0.024339272,0.9198039410531386,1.0,LTR42,LTR,LTR
MER133B,-0.102099426,-0.30338377,0.9186777546631233,1.0,MER133B,LTR,LTR
LTR21A,-0.102647014,-0.035508893,0.9182431297380385,1.0,LTR21A,LTR,LTR
UCON62,-0.10633075,-0.55053043,0.9153199306718,1.0,UCON62,Unknown,Unknown
LTR26B,-0.10774949,-0.0005007588,0.9141944072099562,1.0,LTR26B,LTR,LTR
LTR80A,-0.11083587,0.030090833,0.911746497295981,1.0,LTR80A,LTR,LTR
ORSL-2b,-0.11143324,-0.0046723643,0.9112728042706629,1.0,ORSL-2b,Unknown,Unknown
LTR1F2,-0.11200571,-0.13638508,0.9108188780401334,1.0,LTR1F2,LTR,LTR
MER41G,-0.112677746,0.018232906,0.9102860452659116,1.0,MER41G,LTR,LTR
HSMAR1,-0.11516676,0.0042637144,0.9083129438504596,1.0,HSMAR1,Unknown,Unknown
MER91C,-0.1168344,0.0012352641,0.9069912815356878,1.0,MER91C,LTR,LTR
Charlie13a,-0.11770556,0.032391258,0.9063009630798683,1.0,Charlie13a,Unknown,Unknown
Charlie1a,-0.119945675,2.7795384e-05,0.9045261847386711,1.0,Charlie1a,Unknown,Unknown
MER4B,-0.124824144,0.0011365316,0.900662773685579,1.0,MER4B,LTR,LTR
UCON80,-0.12537172,-0.19187574,0.900229270645303,1.0,UCON80,Unknown,Unknown
LTR27,-0.12681535,-0.026721604,0.8990865419774713,1.0,LTR27,LTR,LTR
Eulor2A,-0.13137026,-0.25686774,0.8954824182752925,1.0,Eulor2A,Unknown,Unknown
MLT1E1-int,-0.14351664,-2.123849,0.8858821613668131,1.0,MLT1E1-int,LTR,LTR
LTR22C0,-0.14418869,-0.2400167,0.8853514750174752,1.0,LTR22C0,LTR,LTR
MSTB2,-0.1444127,0.004733818,0.8851745909829682,1.0,MSTB2,Unknown,Unknown
MADE2,-0.1459061,0.002053474,0.8839955107377336,1.0,MADE2,Unknown,Unknown
MER66D,-0.14787243,-0.068704166,0.8824434472896626,1.0,MER66D,LTR,LTR
LTR38A1,-0.1479471,-0.048069775,0.8823845170271019,1.0,LTR38A1,LTR,LTR
LTR22B2,-0.14856936,-0.6945436,0.8818934568535817,1.0,LTR22B2,LTR,LTR
LTR12E,-0.15322381,-0.009170045,0.8782217792093254,1.0,LTR12E,LTR,LTR
MER50C,-0.15411986,-0.38937837,0.8775152302456617,1.0,MER50C,LTR,LTR
LTR33,-0.16168647,-0.03863145,0.8715527621403367,1.0,LTR33,LTR,LTR
LTR3,-0.16176113,-0.25223267,0.871493957774009,1.0,LTR3,LTR,LTR
Eulor10,-0.16350345,-0.5330969,0.870122058208492,1.0,Eulor10,Unknown,Unknown
LTR62,-0.16477285,-0.017390747,0.869122777212133,1.0,LTR62,LTR,LTR
LTR14,-0.16626626,-0.15144809,0.8679474201935997,1.0,LTR14,LTR,LTR
ERVL47-int,-0.17109495,-0.057002187,0.8641491092528122,1.0,ERVL47-int,Unknown,Unknown
MER34C,-0.1712443,0.0077593494,0.8640316852823234,1.0,MER34C,LTR,LTR
LTR14A,-0.17149319,-0.07870815,0.8638359853392906,1.0,LTR14A,LTR,LTR
LTR91,-0.17211545,-0.094518505,0.8633467720529563,1.0,LTR91,LTR,LTR
HERVK22-int,-0.18742289,0.005187783,0.8513290766617582,1.0,HERVK22-int,Unknown,Unknown
MER4A1,-0.18792069,-0.020938631,0.8509388206251215,1.0,MER4A1,LTR,LTR
LTR14C,-0.19284895,-0.5221078,0.84707727045324,1.0,LTR14C,LTR,LTR
