names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
Tigger2,-1.010845,-0.099009626,0.3120906419517302,1.0,Tigger2,Unknown,Unknown
MamRep1527,-1.0216818,-0.5591489,0.30693152062729945,1.0,MamRep1527,Unknown,Unknown
LTR19A,-1.0257369,-0.7314088,0.3050155751346072,1.0,LTR19A,LTR,LTR
ERV3-16A3_I-int,-1.0299721,-0.16530503,0.30302311179874064,1.0,ERV3-16A3_I-int,Unknown,Unknown
MLT1C,-1.0439507,-0.10528684,0.29650821845783915,1.0,MLT1C,LTR,LTR
MER5A1,-1.044352,-0.12588999,0.29632255156762244,1.0,MER5A1,LTR,LTR
UCON132b,-1.0569743,-0.42335272,0.29052333278477016,1.0,UCON132b,Unknown,Unknown
Tigger9b,-1.0589257,-0.11110698,0.28963360536347127,1.0,Tigger9b,Unknown,Unknown
MER41C,-1.0679357,-0.26455304,0.28554952446715165,1.0,MER41C,LTR,LTR
Tigger8,-1.078551,-0.13165008,0.2807878904859824,1.0,Tigger8,Unknown,Unknown
LTR12,-1.0964049,-0.2948795,0.2729016087146344,1.0,LTR12,LTR,LTR
LTR2,-1.0985917,-0.24688603,0.27194621057856083,1.0,LTR2,LTR,LTR
AluYk11,-1.1095116,-0.09771289,0.26720955424735227,1.0,AluYk11,Alu,SINE
LTR19B,-1.1163071,-0.5376884,0.26429070324094217,1.0,LTR19B,LTR,LTR
Charlie2b,-1.1349083,-0.10574954,0.25641374293421926,1.0,Charlie2b,Unknown,Unknown
Tigger16a,-1.1477797,-0.12036149,0.25105953547294246,1.0,Tigger16a,Unknown,Unknown
MER5C,-1.1564298,-0.14045903,0.24750540980441138,1.0,MER5C,LTR,LTR
L1PA10,-1.1573294,-0.13041396,0.24713781309476812,1.0,L1PA10,LINE-1,LINE
Tigger12A,-1.1585335,-0.22432074,0.24664639765647656,1.0,Tigger12A,Unknown,Unknown
LTR16A2,-1.168789,-0.3784164,0.24248863350492356,1.0,LTR16A2,LTR,LTR
